---------------------------------------------------------------
|Name                                              |Effekt    |
---------------------------------------------------------------
|Shadow Tactics: Blades of the Shogun              |Negative  |
|Darkest Dungeon®                                  |Negative  |
|FINAL FANTASY VIII                                |Negative  |
|Mass Effect 2                                     |Negative  |
|Headliner: NoviNews                               |Negative  |
|Software Inc.                                     |Negative  |
|FINAL FANTASY VI                                  |Negative  |
|SUNLESS SEA                                       |Negative  |
|Treasure Hunter Claire                            |Negative  |
|Judgment: Apocalypse Survival Simulation          |Negative  |
|RESONANCE OF FATE™/END OF ETERNITY™ 4K/HD EDITION |Negative  |
|Legend Of Mercy 神医魔导                              |Negative  |
|The Sexy Brutale                                  |Negative  |
|Downfall                                          |Negative  |
|ChuSingura46+1 S                                  |Negative  |
|Dr Greenstuff                                     |Negative  |
|Primordia                                         |Negative  |
|Misao: Definitive Edition                         |Negative  |
|Paratopic                                         |Negative  |
|Conception II: Children of the Seven Stars        |Negative  |
|Graviteam Tactics: Operation Star                 |Negative  |
|Truberbrook / Trüberbrook                         |Negative  |
|Atom Zombie Smasher                               |Negative  |
|Shadow Uprising                                   |Negative  |
|Wasteland 1 - The Original Classic                |Negative  |
|Sam & Max: Season Two                             |Negative  |
|I, Cyborg                                         |Negative  |
|WORLD END ECONOMiCA episode.01                    |Negative  |
|Magic Gun                                         |Negative  |
|House of Snark 6-in-1 Bundle                      |Negative  |
|The Escapists: The Walking Dead                   |Negative  |
|Friday the 13th: Killer Puzzle                    |Negative  |
|Dark Fall: The Journal                            |Negative  |
|Doctor Who Infinity                               |Negative  |
|Legends Of Iona RPG (2007)                        |Negative  |
|Analogue: A Hate Story                            |Negative  |
|The Entente Gold                                  |Negative  |
|Daddy                                             |Negative  |
|BRAINPIPE: A Plunge to Unhumanity                 |Negative  |
|PANORAMICAL                                       |Negative  |
|KOEWOTAYORINI SP / 声之寄托SP                         |Negative  |
|七人杀阵 - Seven Sacrifices                           |Negative  |
|WORLD END ECONOMiCA episode.03                    |Negative  |
|Two Point Hospital: Bigfoot                       |Negative  |
|Where The Water Tastes Like Wine - Original Soundtrack|Negative  |
|Fallout 3 - Point Lookout                         |Negative  |
|Road Z Survival: The Last Winter                  |Negative  |
|The Haunting of Billy                             |Negative  |
|UnBorn                                            |Negative  |
|Killing Floor "London's Finest" Character Pack    |Negative  |
|Blamdown: Udder Fury                              |Negative  |
|Magical Eyes - Red is for Anguish                 |Negative  |
|The Puppet Master                                 |Negative  |
|SYNCH                                             |Negative  |
|The Eagle's Heir                                  |Negative  |
|New Game: documentary movie                       |Negative  |
|8-bit Adventure Anthology: Volume I               |Negative  |
|Luvocious                                         |Negative  |
|Hard West - Printable Posters                     |Negative  |
|Dragon Sinker                                     |Negative  |
|The Whisperer in Darkness                         |Negative  |
|The Troma Project                                 |Negative  |
|Atonement: Scourge of Time                        |Negative  |
|XCavalypse VR                                     |Negative  |
|The Adventurer and His Backpack                   |Negative  |
|GameLoading: Rise of the Indies                   |Negative  |
|Age of Gladiators                                 |Negative  |
|World War I                                       |Negative  |
|Science Girls                                     |Negative  |
|Moero Chronicle | 限界凸記 モエロクロニクル | 極限凸記　萌萌編年史      |Negative  |
|Bridge Constructor Stunts                         |Negative  |
|巭孬嫑毖                                              |Negative  |
|Minitime                                          |Negative  |
|Thirsty Bubble                                    |Negative  |
|Elven Legacy: Siege                               |Negative  |
|Chronostorm: Siberian Border                      |Negative  |
|Dead Stop                                         |Negative  |
|Aggression: Europe Under Fire                     |Negative  |
|Omnipresent                                       |Negative  |
|RPG Maker MV - POP! Horror City: Character Pack 2 |Negative  |
|Zombie Wars: Invasion                             |Negative  |
|Sorry. (Entschuldigung) ~ A Psychological Horror Visual Novel|Negative  |
|Lamia Must Die                                    |Negative  |
|Hearts of Chaos                                   |Negative  |
|Monster RPG 2                                     |Negative  |
|Zombie Commando 3D                                |Negative  |
|Great Hunt: North America                         |Negative  |
|VR SUSHI BAR                                      |Negative  |
|Guns and Ghosts                                   |Negative  |
|Phantasmal: Survival Horror Roguelike             |Negative  |
|Moonstone Tavern - A Fantasy Tavern Sim!          |Negative  |
|Paradise Lost: FPS Cosmic Horror Game             |Negative  |
|无敌荒野/Unbeatable wilderness                        |Negative  |
|time of the zombies                               |Negative  |
|Visual Novel Maker - Horror SE Perfect Collection |Negative  |
|RPG Maker MV - Horror SE Perfect Collection       |Negative  |
|Destiny of a Wizard 2:  Beyond the Vale           |Negative  |
|RPG Maker MV - Vexed Enigma's pack for MV         |Negative  |
|RPG Maker MV - Fantasy Historica                  |Negative  |
|Mugen Souls - Devil Weapons Bundle                |Negative  |
|RPG Maker VX Ace - POP! Horror City: Character Pack 2|Negative  |
|The Montana Chronicles: Montana's Croatoa         |Negative  |
|WakeUp!                                           |Negative  |
|Railgunners                                       |Negative  |
|Forsaken Castle                                   |Negative  |
|Choice of Rebels: Uprising                        |Negative  |
|Jupiter Hell                                      |Negative  |
|Bones 'n' Bullets                                 |Negative  |
|Felix The Reaper                                  |Negative  |
|Tactical Breach Wizards                           |Negative  |
---------------------------------------------------------------
