---------------------------------------------------------------
|Name                                              |Effekt    |
---------------------------------------------------------------
|DOOM                                              |Positive  |
|PLAYERUNKNOWN'S BATTLEGROUNDS                     |Positive  |
|BATTLETECH                                        |Positive  |
|DayZ                                              |Positive  |
|EVE Online                                        |Positive  |
|Grand Theft Auto V: Premium Online Edition        |Positive  |
|Devil May Cry 5                                   |Positive  |
|Human: Fall Flat                                  |Positive  |
|They Are Billions                                 |Positive  |
|Warhammer: Chaosbane                              |Positive  |
|For The King                                      |Positive  |
|Danganronpa V3: Killing Harmony                   |Positive  |
|TERA                                              |Positive  |
|Call of Duty®: Modern Warfare® Remastered         |Positive  |
|Stonehearth                                       |Positive  |
|Hearts of Iron IV: Mobilization Pack              |Positive  |
|Clone Drone in the Danger Zone                    |Positive  |
|GOD EATER 3                                       |Positive  |
|War Robots                                        |Positive  |
|Halo Wars: Definitive Edition                     |Positive  |
|Call of Duty®: Black Ops                          |Positive  |
|Phoenix Wright: Ace Attorney Trilogy / 逆転裁判123 成歩堂セレクション|Positive  |
|Team Sonic Racing™                                |Positive  |
|Titan Quest Anniversary Edition                   |Positive  |
|Grand Theft Auto IV                               |Positive  |
|Portal Bundle                                     |Positive  |
|Portal                                            |Positive  |
|Viscera Cleanup Detail                            |Positive  |
|Neverwinter Nights: Enhanced Edition              |Positive  |
|Ni no Kuni™ II: Revenant Kingdom                  |Positive  |
|Tree of Savior (English Ver.)                     |Positive  |
|Hellblade: Senua's Sacrifice                      |Positive  |
|Danganronpa 2: Goodbye Despair                    |Positive  |
|Yakuza 0                                          |Positive  |
|The Escapists 2                                   |Positive  |
|Star Wars: Battlefront 2 (Classic, 2005)          |Positive  |
|Wizard101                                         |Positive  |
|Life is Strange 2                                 |Positive  |
|Kingdoms of Amalur: Reckoning™                    |Positive  |
|Doom Classic Complete                             |Positive  |
|Warhammer 40,000: Dawn of War II: Retribution     |Positive  |
|GOD WARS The Complete Legend                      |Positive  |
|Counter-Strike: Source                            |Positive  |
|The Evil Within                                   |Positive  |
|The Binding of Isaac: Rebirth Complete Bundle     |Positive  |
|Bright Memory(Early Access) / 光明记忆                |Positive  |
|STAR WARS™ Empire at War - Gold Pack              |Positive  |
|Dishonored®: Death of the Outsider™               |Positive  |
|Street Fighter V                                  |Positive  |
|The Jackbox Party Pack 2                          |Positive  |
|Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator|Positive  |
|Battlefleet Gothic: Armada 2                      |Positive  |
|RUNNING WITH RIFLES                               |Positive  |
|The Witcher: Enhanced Edition Director's Cut      |Positive  |
|Middle-earth™: Shadow of War™                     |Positive  |
|Forts                                             |Positive  |
|The Lord of the Rings Online™                     |Positive  |
|Stellaris: Ascension Pack                         |Positive  |
|Dungeon Munchies                                  |Positive  |
|Grand Theft Auto IV: Complete Edition             |Positive  |
|Pillars of Eternity                               |Positive  |
|Graveyard Keeper                                  |Positive  |
|The Elder Scrolls®: Legends™                      |Positive  |
|RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition   |Positive  |
|Northgard                                         |Positive  |
|Realm Royale                                      |Positive  |
|Sid Meier’s Civilization VI Gold Edition          |Positive  |
|Gang Beasts                                       |Positive  |
|Age of Empires Legacy Bundle                      |Positive  |
|Total War: MEDIEVAL II – Definitive Edition       |Positive  |
|Tales of Vesperia: Definitive Edition             |Positive  |
|FINAL FANTASY X/X-2 HD Remaster                   |Positive  |
|Return of the Obra Dinn                           |Positive  |
|Castle Crashers®                                  |Positive  |
